Feature,Label,Precision,Recall,F1-Score,Support
lag1_std_2,0.0,0.45,0.99,0.62,83
lag1_std_2,1.0,0.2,0.06,0.09,89
lag1_std_2,2.0,0.95,0.53,0.68,76
lag1_std_2,Average,0.5333333333333333,,,
lag1_max_2,0.0,0.43,0.98,0.6,83
lag1_max_2,1.0,0.35,0.07,0.11,89
lag1_max_2,2.0,0.93,0.53,0.67,76
lag1_max_2,Average,0.57,,,
lag1_max_q1_2,0.0,0.43,0.99,0.6,83
lag1_max_q1_2,1.0,0.37,0.08,0.13,89
lag1_max_q1_2,2.0,0.95,0.47,0.63,76
lag1_max_q1_2,Average,0.5833333333333334,,,
lag1_max_q2_2,0.0,0.44,0.98,0.6,83
lag1_max_q2_2,1.0,0.45,0.1,0.17,89
lag1_max_q2_2,2.0,0.95,0.53,0.68,76
lag1_max_q2_2,Average,0.6133333333333333,,,
lag1_min_2,0.0,0.45,1.0,0.62,83
lag1_min_2,1.0,0.25,0.06,0.09,89
lag1_min_2,2.0,0.95,0.55,0.7,76
lag1_min_2,Average,0.5499999999999999,,,
lag1_min_q1_2,0.0,0.45,0.99,0.62,83
lag1_min_q1_2,1.0,0.46,0.07,0.12,89
lag1_min_q1_2,2.0,0.96,0.66,0.78,76
lag1_min_q1_2,Average,0.6233333333333334,,,
lag1_min_q2_2,0.0,0.45,0.92,0.6,83
lag1_min_q2_2,1.0,0.39,0.13,0.2,89
lag1_min_q2_2,2.0,0.96,0.61,0.74,76
lag1_min_q2_2,Average,0.6,,,
lag1_covM_0_2,0.0,0.0,0.0,0.0,83
lag1_covM_0_2,1.0,0.39,0.99,0.56,89
lag1_covM_0_2,2.0,1.0,0.28,0.43,76
lag1_covM_0_2,Average,0.4633333333333334,,,
lag1_covM_2_2,0.0,0.44,1.0,0.61,83
lag1_covM_2_2,1.0,0.04,0.01,0.02,89
lag1_covM_2_2,2.0,0.94,0.42,0.58,76
lag1_covM_2_2,Average,0.47333333333333333,,,
lag1_eigenval_0,0.0,0.4,1.0,0.58,83
lag1_eigenval_0,1.0,0.0,0.0,0.0,89
lag1_eigenval_0,2.0,0.94,0.42,0.58,76
lag1_eigenval_0,Average,0.4466666666666666,,,
lag1_logcovM_2_2,0.0,0.5,0.78,0.61,83
lag1_logcovM_2_2,1.0,0.67,0.42,0.51,89
lag1_logcovM_2_2,2.0,0.94,0.78,0.85,76
lag1_logcovM_2_2,Average,0.7033333333333333,,,
lag1_freq_030_0,0.0,0.56,0.55,0.56,83
lag1_freq_030_0,1.0,0.69,0.42,0.52,89
lag1_freq_030_0,2.0,0.55,0.82,0.66,76
lag1_freq_030_0,Average,0.6,,,
lag1_freq_041_0,0.0,0.53,0.47,0.5,83
lag1_freq_041_0,1.0,0.63,0.46,0.53,89
lag1_freq_041_0,2.0,0.59,0.84,0.69,76
lag1_freq_041_0,Average,0.5833333333333334,,,
lag1_freq_051_0,0.0,0.55,0.48,0.51,83
lag1_freq_051_0,1.0,0.64,0.39,0.49,89
lag1_freq_051_0,2.0,0.53,0.83,0.64,76
lag1_freq_051_0,Average,0.5733333333333334,,,
lag1_freq_061_0,0.0,0.47,0.39,0.42,83
lag1_freq_061_0,1.0,0.52,0.31,0.39,89
lag1_freq_061_0,2.0,0.52,0.87,0.65,76
lag1_freq_061_0,Average,0.5033333333333333,,,
lag1_freq_071_0,0.0,0.44,0.55,0.49,83
lag1_freq_071_0,1.0,0.6,0.07,0.12,89
lag1_freq_071_0,2.0,0.47,0.83,0.6,76
lag1_freq_071_0,Average,0.5033333333333333,,,
lag1_freq_081_0,0.0,0.52,0.37,0.43,83
lag1_freq_081_0,1.0,0.49,0.37,0.42,89
lag1_freq_081_0,2.0,0.55,0.87,0.67,76
lag1_freq_081_0,Average,0.52,,,
lag1_freq_091_0,0.0,0.69,0.35,0.46,83
lag1_freq_091_0,1.0,0.51,0.51,0.51,89
lag1_freq_091_0,2.0,0.58,0.91,0.71,76
lag1_freq_091_0,Average,0.5933333333333333,,,
lag1_freq_101_0,0.0,0.78,0.39,0.52,83
lag1_freq_101_0,1.0,0.49,0.45,0.47,89
lag1_freq_101_0,2.0,0.56,0.92,0.69,76
lag1_freq_101_0,Average,0.61,,,
lag1_freq_111_0,0.0,0.67,0.37,0.48,83
lag1_freq_111_0,1.0,0.47,0.4,0.44,89
lag1_freq_111_0,2.0,0.54,0.89,0.67,76
lag1_freq_111_0,Average,0.56,,,
lag1_freq_122_0,0.0,0.76,0.49,0.6,83
lag1_freq_122_0,1.0,0.53,0.47,0.5,89
lag1_freq_122_0,2.0,0.58,0.88,0.7,76
lag1_freq_122_0,Average,0.6233333333333334,,,
lag1_freq_132_0,0.0,0.53,0.37,0.44,83
lag1_freq_132_0,1.0,0.4,0.3,0.34,89
lag1_freq_132_0,2.0,0.55,0.88,0.68,76
lag1_freq_132_0,Average,0.49333333333333335,,,
lag1_freq_142_0,0.0,0.61,0.45,0.51,83
lag1_freq_142_0,1.0,0.42,0.27,0.33,89
lag1_freq_142_0,2.0,0.52,0.88,0.65,76
lag1_freq_142_0,Average,0.5166666666666667,,,
lag1_freq_152_0,0.0,0.52,0.52,0.52,83
lag1_freq_152_0,1.0,0.39,0.16,0.22,89
lag1_freq_152_0,2.0,0.51,0.87,0.64,76
lag1_freq_152_0,Average,0.47333333333333333,,,
lag1_freq_162_0,0.0,0.54,0.41,0.47,83
lag1_freq_162_0,1.0,0.43,0.26,0.32,89
lag1_freq_162_0,2.0,0.53,0.92,0.68,76
lag1_freq_162_0,Average,0.5,,,
lag1_freq_172_0,0.0,0.5,0.36,0.42,83
lag1_freq_172_0,1.0,0.41,0.26,0.32,89
lag1_freq_172_0,2.0,0.51,0.88,0.64,76
lag1_freq_172_0,Average,0.47333333333333333,,,
lag1_freq_182_0,0.0,0.6,0.55,0.57,83
lag1_freq_182_0,1.0,0.49,0.24,0.32,89
lag1_freq_182_0,2.0,0.55,0.92,0.69,76
lag1_freq_182_0,Average,0.5466666666666666,,,
lag1_freq_193_0,0.0,0.59,0.45,0.51,83
lag1_freq_193_0,1.0,0.36,0.19,0.25,89
lag1_freq_193_0,2.0,0.49,0.89,0.64,76
lag1_freq_193_0,Average,0.48,,,
lag1_freq_203_0,0.0,0.54,0.3,0.39,83
lag1_freq_203_0,1.0,0.39,0.33,0.36,89
lag1_freq_203_0,2.0,0.54,0.91,0.68,76
lag1_freq_203_0,Average,0.49000000000000005,,,
lag1_freq_213_0,0.0,0.53,0.47,0.5,83
lag1_freq_213_0,1.0,0.5,0.24,0.32,89
lag1_freq_213_0,2.0,0.54,0.95,0.69,76
lag1_freq_213_0,Average,0.5233333333333333,,,
lag1_freq_223_0,0.0,0.62,0.39,0.47,83
lag1_freq_223_0,1.0,0.37,0.28,0.32,89
lag1_freq_223_0,2.0,0.51,0.87,0.64,76
lag1_freq_223_0,Average,0.5,,,
lag1_freq_233_0,0.0,0.6,0.45,0.51,83
lag1_freq_233_0,1.0,0.53,0.31,0.39,89
lag1_freq_233_0,2.0,0.51,0.89,0.65,76
lag1_freq_233_0,Average,0.5466666666666666,,,
lag1_freq_243_0,0.0,0.55,0.51,0.53,83
lag1_freq_243_0,1.0,0.4,0.19,0.26,89
lag1_freq_243_0,2.0,0.52,0.89,0.66,76
lag1_freq_243_0,Average,0.49000000000000005,,,
lag1_freq_253_0,0.0,0.53,0.65,0.58,83
lag1_freq_253_0,1.0,0.69,0.1,0.18,89
lag1_freq_253_0,2.0,0.53,0.93,0.68,76
lag1_freq_253_0,Average,0.5833333333333334,,,
lag1_freq_264_0,0.0,0.58,0.49,0.53,83
lag1_freq_264_0,1.0,0.45,0.28,0.35,89
lag1_freq_264_0,2.0,0.55,0.88,0.68,76
lag1_freq_264_0,Average,0.5266666666666667,,,
lag1_freq_274_0,0.0,0.54,0.51,0.52,83
lag1_freq_274_0,1.0,0.44,0.2,0.28,89
lag1_freq_274_0,2.0,0.5,0.86,0.63,76
lag1_freq_274_0,Average,0.49333333333333335,,,
lag1_freq_284_0,0.0,0.5,0.64,0.56,83
lag1_freq_284_0,1.0,0.11,0.01,0.02,89
lag1_freq_284_0,2.0,0.5,0.87,0.63,76
lag1_freq_284_0,Average,0.36999999999999994,,,
lag1_freq_294_0,0.0,0.53,0.71,0.61,83
lag1_freq_294_0,1.0,0.56,0.06,0.1,89
lag1_freq_294_0,2.0,0.52,0.88,0.66,76
lag1_freq_294_0,Average,0.5366666666666667,,,
lag1_freq_304_0,0.0,0.46,0.61,0.53,83
lag1_freq_304_0,1.0,0.29,0.02,0.04,89
lag1_freq_304_0,2.0,0.51,0.88,0.65,76
lag1_freq_304_0,Average,0.42,,,
lag1_freq_314_0,0.0,0.53,0.61,0.57,83
lag1_freq_314_0,1.0,0.5,0.08,0.14,89
lag1_freq_314_0,2.0,0.49,0.88,0.63,76
lag1_freq_314_0,Average,0.5066666666666667,,,
lag1_freq_324_0,0.0,0.49,0.59,0.54,83
lag1_freq_324_0,1.0,0.6,0.07,0.12,89
lag1_freq_324_0,2.0,0.49,0.89,0.64,76
lag1_freq_324_0,Average,0.5266666666666666,,,
lag1_freq_334_0,0.0,0.51,0.67,0.58,83
lag1_freq_334_0,1.0,0.2,0.01,0.02,89
lag1_freq_334_0,2.0,0.53,0.93,0.68,76
lag1_freq_334_0,Average,0.41333333333333333,,,
lag1_freq_345_0,0.0,0.49,0.54,0.51,83
lag1_freq_345_0,1.0,0.47,0.1,0.17,89
lag1_freq_345_0,2.0,0.47,0.86,0.61,76
lag1_freq_345_0,Average,0.4766666666666666,,,
lag1_freq_355_0,0.0,0.46,0.46,0.46,83
lag1_freq_355_0,1.0,0.37,0.11,0.17,89
lag1_freq_355_0,2.0,0.49,0.89,0.64,76
lag1_freq_355_0,Average,0.44,,,
lag1_freq_365_0,0.0,0.5,0.52,0.51,83
lag1_freq_365_0,1.0,0.42,0.06,0.1,89
lag1_freq_365_0,2.0,0.46,0.91,0.61,76
lag1_freq_365_0,Average,0.45999999999999996,,,
lag1_freq_375_0,0.0,0.52,0.52,0.52,83
lag1_freq_375_0,1.0,0.5,0.09,0.15,89
lag1_freq_375_0,2.0,0.46,0.91,0.61,76
lag1_freq_375_0,Average,0.49333333333333335,,,
lag1_freq_385_0,0.0,0.46,0.55,0.5,83
lag1_freq_385_0,1.0,0.55,0.07,0.12,89
lag1_freq_385_0,2.0,0.49,0.88,0.63,76
lag1_freq_385_0,Average,0.5,,,
lag1_freq_395_0,0.0,0.51,0.6,0.55,83
lag1_freq_395_0,1.0,0.62,0.06,0.1,89
lag1_freq_395_0,2.0,0.49,0.91,0.64,76
lag1_freq_395_0,Average,0.5399999999999999,,,
lag1_freq_405_0,0.0,0.54,0.53,0.53,83
lag1_freq_405_0,1.0,0.37,0.08,0.13,89
lag1_freq_405_0,2.0,0.45,0.87,0.59,76
lag1_freq_405_0,Average,0.45333333333333337,,,
lag1_freq_416_0,0.0,0.54,0.53,0.54,83
lag1_freq_416_0,1.0,0.42,0.09,0.15,89
lag1_freq_416_0,2.0,0.47,0.91,0.62,76
lag1_freq_416_0,Average,0.4766666666666666,,,
lag1_freq_426_0,0.0,0.52,0.55,0.54,83
lag1_freq_426_0,1.0,0.43,0.11,0.18,89
lag1_freq_426_0,2.0,0.5,0.89,0.64,76
lag1_freq_426_0,Average,0.48333333333333334,,,
lag1_freq_436_0,0.0,0.53,0.59,0.56,83
lag1_freq_436_0,1.0,0.44,0.04,0.08,89
lag1_freq_436_0,2.0,0.49,0.95,0.65,76
lag1_freq_436_0,Average,0.48666666666666664,,,
lag1_freq_446_0,0.0,0.52,0.59,0.55,83
lag1_freq_446_0,1.0,0.31,0.04,0.08,89
lag1_freq_446_0,2.0,0.48,0.89,0.63,76
lag1_freq_446_0,Average,0.4366666666666667,,,
lag1_freq_456_0,0.0,0.5,0.61,0.55,83
lag1_freq_456_0,1.0,0.42,0.06,0.1,89
lag1_freq_456_0,2.0,0.53,0.93,0.68,76
lag1_freq_456_0,Average,0.48333333333333334,,,
lag1_freq_466_0,0.0,0.51,0.46,0.48,83
lag1_freq_466_0,1.0,0.42,0.17,0.24,89
lag1_freq_466_0,2.0,0.49,0.88,0.63,76
lag1_freq_466_0,Average,0.47333333333333333,,,
lag1_freq_476_0,0.0,0.53,0.59,0.56,83
lag1_freq_476_0,1.0,0.38,0.06,0.1,89
lag1_freq_476_0,2.0,0.5,0.95,0.66,76
lag1_freq_476_0,Average,0.47000000000000003,,,
lag1_freq_486_0,0.0,0.56,0.64,0.6,83
lag1_freq_486_0,1.0,0.62,0.09,0.16,89
lag1_freq_486_0,2.0,0.5,0.92,0.65,76
lag1_freq_486_0,Average,0.56,,,
lag1_freq_517_0,0.0,0.7,0.4,0.51,83
lag1_freq_517_0,1.0,0.51,0.4,0.45,89
lag1_freq_517_0,2.0,0.55,0.95,0.7,76
lag1_freq_517_0,Average,0.5866666666666667,,,
lag1_freq_527_0,0.0,0.55,0.64,0.59,83
lag1_freq_527_0,1.0,0.38,0.06,0.1,89
lag1_freq_527_0,2.0,0.49,0.89,0.63,76
lag1_freq_527_0,Average,0.47333333333333333,,,
lag1_freq_537_0,0.0,0.57,0.66,0.61,83
lag1_freq_537_0,1.0,0.62,0.06,0.1,89
lag1_freq_537_0,2.0,0.48,0.89,0.62,76
lag1_freq_537_0,Average,0.5566666666666666,,,
lag1_freq_547_0,0.0,0.53,0.6,0.56,83
lag1_freq_547_0,1.0,0.36,0.06,0.1,89
lag1_freq_547_0,2.0,0.5,0.92,0.65,76
lag1_freq_547_0,Average,0.4633333333333334,,,
lag1_freq_557_0,0.0,0.55,0.64,0.59,83
lag1_freq_557_0,1.0,0.57,0.09,0.16,89
lag1_freq_557_0,2.0,0.5,0.91,0.64,76
lag1_freq_557_0,Average,0.54,,,
